,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
3375.01592,0,0,0,0,0,0,0,0
3373.08734,0,0,0,0,0,0,0,0
3371.15876,0,0,0,0,0,0,0,0
3369.23018,0,0,0,1,0,0,0,0
3367.3016,0,0,0,0,0,0,0,0
3365.37302,0,0,0,0,0,0,0,0
3363.44444,0,0,0,0,0,0,0,0
3361.51586,0,0,0,0,0,0,0,0
3359.58728,0,0,0,0,0,0,0,0
3357.6587,0,0,0,0,0,0,0,0
3355.73012,0,0,0,0,0,0,0,0
3353.80153,0,0,0,0,0,0,0,0
3351.87295,0,0,0,0,0,0,0,0
3349.94437,0,0,0,0,0,0,0,0
3348.01579,0,0,0,0,0,0,0,0
3346.08721,1,0,0,0,0,0,0,0
3344.15863,0,0,0,0,0,0,0,0
3342.23005,0,0,0,0,0,0,1,0
3340.30147,0,0,0,0,0,0,0,0
3338.37289,0,0,0,0,0,0,0,0
3336.44431,0,0,0,0,0,0,0,0
3334.51573,0,0,0,0,0,0,0,0
3332.58715,0,0,0,0,0,0,0,0
3330.65857,0,0,0,0,0,0,0,0
3328.72999,0,1,0,0,0,0,0,0
3326.80141,0,0,0,0,0,0,0,0
3324.87283,0,0,0,0,0,0,0,0
3322.94425,0,0,0,0,0,0,0,0
3321.01567,0,0,0,0,0,0,0,0
3319.08709,0,0,0,0,0,0,0,0
3317.1585,0,0,0,0,0,0,0,0
3315.22992,0,0,0,0,0,0,0,0
3313.30134,0,0,0,0,0,0,0,0
3311.37276,0,0,1,0,0,0,0,0
3309.44418,0,0,0,0,0,0,0,0
3307.5156,0,0,0,0,0,0,0,0
3305.58702,0,0,0,0,0,0,0,1
3303.65844,0,0,0,0,0,0,0,0
3301.72986,0,0,0,0,0,0,0,0
3299.80128,0,0,0,0,0,0,0,0
3297.8727,0,0,0,0,0,0,0,0
3295.94412,0,0,0,0,0,0,0,0
3294.01554,0,0,0,0,0,0,0,0
3292.08696,0,0,0,0,0,0,0,0
3290.15838,0,0,0,0,0,0,0,0
